City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saurimo,30,AO,2020-04-01,40,-9.66,20.39,89.9600000000001,0.8947760000000001
Port Moresby,100,PG,2020-04-01,84,-9.44,147.18,76.6760000000001,6.554234200000001
Warmbad,0,NA,2020-04-01,17,-28.45,18.73,83.73200000000003,5.1002232
Port-Gentil,40,GA,2020-04-01,79,-0.72,8.78,87.80000000000001,9.171454
Lakes Entrance,66,AU,2020-04-01,85,-37.88,147.98,59.0,13.5558564
Lorengau,55,PG,2020-04-01,80,-2.02,147.27,82.90400000000005,9.574103200000001
Arica,81,CL,2020-04-01,68,-18.48,-70.3,71.6,1.11847
Iquitos,90,PE,2020-04-01,94,-3.75,-73.25,75.2,3.35541
Kimbe,94,PG,2020-04-01,87,-5.55,150.14,77.234,1.5211192000000002
Otjiwarongo,0,NA,2020-04-01,28,-20.46,16.65,84.2,3.35541
Ulladulla,75,AU,2020-04-01,100,-35.35,150.47,66.2,2.23694
Monte Alegre,97,BR,2020-04-01,97,-2.01,-54.07,73.76000000000008,0.9618842000000001
São José da Coroa Grande,20,BR,2020-04-01,75,-8.9,-35.15,82.81400000000004,12.2360618
Prata,29,BR,2020-04-01,66,-19.31,-48.92,76.892,6.5766036
La Paz,75,BO,2020-04-01,93,-16.5,-68.15,42.8,4.697574
Nokaneng,100,BW,2020-04-01,36,-19.67,22.27,85.82000000000006,4.138339
Malanje,1,AO,2020-04-01,41,-9.54,16.34,86.64800000000002,2.5948504
Port Lincoln,18,AU,2020-04-01,76,-34.73,135.87,63.59000000000002,6.5318648
Gamba,100,GA,2020-04-01,78,-2.65,10.0,84.47000000000006,8.0306146
Capão da Canoa,87,BR,2020-04-01,86,-29.75,-50.01,72.78800000000004,12.4373864
Nchelenge,32,ZM,2020-04-01,56,-9.35,28.73,80.13200000000002,3.6014734000000006
São João da Barra,75,BR,2020-04-01,88,-21.64,-41.05,77.0,2.23694
Tual,92,ID,2020-04-01,71,-5.67,132.75,84.27200000000005,7.806920600000001
Cairns,75,AU,2020-04-01,88,-16.92,145.77,75.2,6.934514000000001
Bengkulu,74,ID,2020-04-01,79,-3.8,102.27,81.0680000000001,2.5501116
Lodja,73,CD,2020-04-01,31,-3.48,23.43,100.07600000000009,0.4026492
Diamantino,2,BR,2020-04-01,71,-14.41,-56.45,78.13399999999999,3.6462122
Pimenta Bueno,96,BR,2020-04-01,86,-11.67,-61.19,77.37800000000007,1.7000744
Shurugwi,0,ZW,2020-04-01,17,-19.67,30.01,82.63399999999999,9.9096442
Correntina,21,BR,2020-04-01,64,-13.34,-44.64,77.73800000000006,5.4581336
São Félix do Xingu,100,BR,2020-04-01,84,-6.64,-51.99,78.49400000000009,0.782929
Yulara,100,AU,2020-04-01,45,-25.24,130.99,84.2,10.289924
El Alto,95,PE,2020-04-01,78,-4.27,-81.21,72.66200000000006,5.6818276
Ancud,40,CL,2020-04-01,100,-41.87,-73.82,44.6,2.23694
Ayacucho,75,PE,2020-04-01,93,-13.16,-74.22,53.6,0.8500372
Pitimbu,75,BR,2020-04-01,70,-7.47,-34.81,86.0,13.869028000000002
Oranjemund,0,NA,2020-04-01,42,-28.55,16.43,71.33000000000004,14.137460800000001
Valdivia,20,CL,2020-04-01,100,-39.81,-73.25,35.6,3.35541
Wagga Wagga,81,AU,2020-04-01,49,-35.12,147.37,69.99800000000002,8.052984
